wave_id,step,truth_definition,respondent,actual_top_broker,actual_top_betweenness,perceived_rank_of_actual_top_broker,bridge_top1_hit,bridge_top3_hit,bridge_mean_abs_rank_error,n_ranked,n_expected,n_fail_safe
post,3000,observed_interaction_cumulative_betweenness_rank,__overall__,Jane Moreno,0.167710,7.960000,0.040000,0.120000,7.174400,25.000000,25,0
post,3000,observed_interaction_recent_betweenness_rank,Abigail Chen,Jane Moreno,0.178722,12,0,0,6.960000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Adam Smith,Jane Moreno,0.178722,12,0,0,6.240000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Arthur Burton,Jane Moreno,0.178722,10,0,0,7.440000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Ayesha Khan,Jane Moreno,0.178722,4,0,0,7.600000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Carlos Gomez,Jane Moreno,0.178722,5,0,0,5.680000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Carmen Ortiz,Jane Moreno,0.178722,3,0,1,7.280000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Eddy Lin,Jane Moreno,0.178722,11,0,0,5.680000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Francisco Lopez,Jane Moreno,0.178722,11,0,0,6.000000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Giorgio Rossi,Jane Moreno,0.178722,9,0,0,4.880000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Hailey Johnson,Jane Moreno,0.178722,7,0,0,5.200000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Isabella Rodriguez,Jane Moreno,0.178722,6,0,0,6.400000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Jane Moreno,Jane Moreno,0.178722,1,1,1,7.600000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Jennifer Moore,Jane Moreno,0.178722,8,0,0,6.960000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,John Lin,Jane Moreno,0.178722,8,0,0,8.800000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Klaus Mueller,Jane Moreno,0.178722,7,0,0,6.400000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Latoya Williams,Jane Moreno,0.178722,11,0,0,7.920000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Maria Lopez,Jane Moreno,0.178722,6,0,0,7.920000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Mei Lin,Jane Moreno,0.178722,2,0,1,7.680000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Rajiv Patel,Jane Moreno,0.178722,12,0,0,6.800000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Ryan Park,Jane Moreno,0.178722,4,0,0,7.760000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Sam Moore,Jane Moreno,0.178722,7,0,0,5.840000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Tamara Taylor,Jane Moreno,0.178722,7,0,0,8.080000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Tom Moreno,Jane Moreno,0.178722,7,0,0,8.880000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Wolfgang Schulz,Jane Moreno,0.178722,10,0,0,7.920000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,Yuriko Yamamoto,Jane Moreno,0.178722,19,0,0,8.480000,25,25,0
post,3000,observed_interaction_recent_betweenness_rank,__overall__,Jane Moreno,0.178722,7.960000,0.040000,0.120000,7.056000,25.000000,25,0
